scenario,case,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_samples
evidence_tradeoff,A,0.2,functionality_day_90,mean_spearman_rho,0.989817142857143,0.8666666666666666,1.0,10000
evidence_tradeoff,A,0.4,functionality_day_90,mean_spearman_rho,0.9750285714285716,0.7333333333333334,1.0,10000
evidence_tradeoff,A,0.6,functionality_day_90,mean_spearman_rho,0.9567257142857143,0.6380952380952382,1.0,10000
evidence_tradeoff,A,0.8,functionality_day_90,mean_spearman_rho,0.9356399999999999,0.580952380952381,1.0,10000
evidence_tradeoff,A,1.0,functionality_day_90,mean_spearman_rho,0.9064438095238097,0.580952380952381,1.0,10000
evidence_tradeoff,A,0.2,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,recovery_rapidity_90,top1_change_rate,0.1111111111111111,0.0,0.3333333333333333,10000
evidence_tradeoff,A,0.6,recovery_rapidity_90,top1_change_rate,0.2222222222222222,0.0,0.6666666666666666,10000
evidence_tradeoff,A,0.8,recovery_rapidity_90,top1_change_rate,0.611111111111111,0.0416666666666667,1.0,10000
evidence_tradeoff,A,1.0,recovery_rapidity_90,top1_change_rate,0.7222222222222222,0.0416666666666667,1.0,10000
evidence_tradeoff,A,0.2,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
evidence_tradeoff,A,0.4,recovery_rapidity_90,pairwise_reversal_rate,0.019135555555555555,0.0,0.07777777777777778,10000
evidence_tradeoff,A,0.6,recovery_rapidity_90,pairwise_reversal_rate,0.07510333333333331,0.044444444444444446,0.25555555555555554,10000
evidence_tradeoff,A,0.8,recovery_rapidity_90,pairwise_reversal_rate,0.18386333333333335,0.12222222222222222,0.2777777777777778,10000
evidence_tradeoff,A,1.0,recovery_rapidity_90,pairwise_reversal_rate,0.24305222222222223,0.0,0.3,10000
evidence_tradeoff,A,0.2,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
