case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,capacity_recovery_tradeoff,0.2,functionality_day_30,mean_spearman_rho,0.9991533333333333,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_30,mean_spearman_rho,0.9974933333333332,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_30,mean_spearman_rho,0.9901833333333332,0.9,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_30,mean_spearman_rho,0.9767933333333334,0.6666666666666666,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_30,mean_spearman_rho,0.9598233333333334,0.5,1.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_90,top1_change_rate,0.4,0.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_90,top1_change_rate,0.7333333333333332,0.3666666666666667,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_90,top1_change_rate,0.8,0.10000000000000009,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_90,top1_change_rate,0.26666666666666666,0.0,0.6666666666666666,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_90,pairwise_reversal_rate,0.008996666666666667,0.0,0.11666666666666667,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_90,pairwise_reversal_rate,0.019418333333333333,0.0,0.2,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_90,pairwise_reversal_rate,0.038345000000000004,0.0,0.26666666666666666,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_90,pairwise_reversal_rate,0.06500999999999998,0.0,0.36666666666666664,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_90,pairwise_reversal_rate,0.10538666666666668,0.0,0.38333333333333336,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_90,mean_top3_jaccard,0.9818333333333334,0.6666666666666666,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_90,mean_top3_jaccard,0.9595,0.5,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_90,mean_top3_jaccard,0.9374433333333333,0.39999999999999997,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_90,mean_top3_jaccard,0.9088866666666667,0.39999999999999997,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_90,mean_top3_jaccard,0.8748333333333334,0.39999999999999997,1.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_90,mean_kendall_tau,0.97356,0.6666666666666666,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_90,mean_kendall_tau,0.9441133333333335,0.39999999999999997,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_90,mean_kendall_tau,0.9098733333333333,0.33333333333333326,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_90,mean_kendall_tau,0.8696400000000002,0.19999999999999998,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_90,mean_kendall_tau,0.8122533333333334,0.19999999999999998,1.0,10000
A,capacity_recovery_tradeoff,0.2,functionality_day_90,mean_spearman_rho,0.9832699999999999,0.7666666666666666,1.0,10000
A,capacity_recovery_tradeoff,0.4,functionality_day_90,mean_spearman_rho,0.9597566666666666,0.5666666666666667,1.0,10000
A,capacity_recovery_tradeoff,0.6,functionality_day_90,mean_spearman_rho,0.92905,0.39999999999999997,1.0,10000
A,capacity_recovery_tradeoff,0.8,functionality_day_90,mean_spearman_rho,0.8918433333333334,0.26666666666666666,1.0,10000
A,capacity_recovery_tradeoff,1.0,functionality_day_90,mean_spearman_rho,0.8387566666666666,0.26666666666666666,1.0,10000
A,capacity_recovery_tradeoff,0.2,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.4,recovery_rapidity_90,top1_change_rate,0.13333333333333333,0.0,0.3333333333333333,10000
A,capacity_recovery_tradeoff,0.6,recovery_rapidity_90,top1_change_rate,0.8666666666666666,0.6666666666666666,1.0,10000
A,capacity_recovery_tradeoff,0.8,recovery_rapidity_90,top1_change_rate,0.2,0.0,0.3333333333333333,10000
A,capacity_recovery_tradeoff,1.0,recovery_rapidity_90,top1_change_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.2,recovery_rapidity_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,capacity_recovery_tradeoff,0.4,recovery_rapidity_90,pairwise_reversal_rate,0.009018333333333333,0.0,0.06666666666666667,10000
A,capacity_recovery_tradeoff,0.6,recovery_rapidity_90,pairwise_reversal_rate,0.11020333333333333,0.06666666666666667,0.38333333333333336,10000
A,capacity_recovery_tradeoff,0.8,recovery_rapidity_90,pairwise_reversal_rate,0.274905,0.18333333333333332,0.4166666666666667,10000
A,capacity_recovery_tradeoff,1.0,recovery_rapidity_90,pairwise_reversal_rate,0.36489000000000005,0.0,0.45,10000
A,capacity_recovery_tradeoff,0.2,recovery_rapidity_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,recovery_rapidity_90,mean_top3_jaccard,0.9999666666666668,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.6,recovery_rapidity_90,mean_top3_jaccard,0.9344866666666667,0.5,1.0,10000
A,capacity_recovery_tradeoff,0.8,recovery_rapidity_90,mean_top3_jaccard,0.67445,0.5,0.8333333333333334,10000
A,capacity_recovery_tradeoff,1.0,recovery_rapidity_90,mean_top3_jaccard,0.6452199999999999,0.5,1.0,10000
A,capacity_recovery_tradeoff,0.2,recovery_rapidity_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,recovery_rapidity_90,mean_kendall_tau,0.9852466666666667,0.8666666666666667,1.0,10000
A,capacity_recovery_tradeoff,0.6,recovery_rapidity_90,mean_kendall_tau,0.8066533333333334,0.39999999999999997,0.8666666666666667,10000
A,capacity_recovery_tradeoff,0.8,recovery_rapidity_90,mean_kendall_tau,0.58546,0.39999999999999997,0.7333333333333334,10000
A,capacity_recovery_tradeoff,1.0,recovery_rapidity_90,mean_kendall_tau,0.40854666666666656,0.2666666666666666,1.0,10000
